"activityId" "subjectId" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "activityType"
1 7 0.30164847 -0.026883636 -0.095795795 -0.38012427 -0.19132923 0.34055774 0.90205736 -0.13661061 -0.34282543 -0.95301111 -0.93681385 -0.92107189 0.15053073 -0.23907007 -0.15330489 -0.47203045 -0.16066926 -0.063309675 0.21389026 -0.04901106 -0.24526685 -0.51187681 -0.25407974 -0.40410261 -0.063415194 0.031583496 -0.011197953 -0.22776219 -0.29332465 -0.56075067 -0.09188078 -0.21935619 -0.09188078 -0.21935619 -0.22127046 -0.087904172 -0.23188636 -0.35877676 -0.35258183 -0.25985699 -0.42618282 -0.097240111 0.18459649 -0.36276206 -0.29829356 0.31939488 -0.47366897 0.26477089 0.10474594 -0.48964374 -0.18898343 0.014696508 -0.50041391 -0.18651081 -0.13805239 -0.32547002 -0.26335525 -0.25797487 -0.3211774 -0.20091491 -0.44845321 -0.57372347 -0.29422955 -0.44461316 0.044022789 0.10496812 -0.20984333 -0.22416098 -0.33775998 0.19933442 -0.10808845 -0.06845567 0.035432399 -0.35559498 -0.4737873 0.18830201 -0.29350547 -0.26878596 -0.11230423 "WALKING"
1 5 0.34335917 -0.0034264729 -0.10154465 -0.20115362 0.13315357 -0.31817123 0.9654573 -0.1450329 0.028511108 -0.9837114 -0.95313418 -0.98964698 -0.13513594 -0.06368648 -0.26307153 -0.19740252 -0.04461324 -0.44016334 -0.027673668 -0.12531555 0.12288572 -0.44776924 -0.39408311 -0.31121189 0.075567096 -0.056861953 0.14377131 -0.29987501 -0.45422585 -0.096723322 -0.060402377 -0.31844668 -0.060402377 -0.31844668 -0.17724473 -0.18946999 -0.2910629 -0.45700393 -0.34617 -0.43184842 -0.17987135 0.085165805 -0.29995122 -0.20964844 0.086587119 -0.38511847 -0.34790818 -0.15929023 0.20589573 -0.19960309 -0.13987541 -0.39925338 -0.26859251 -0.0037224094 -0.47827753 -0.23467665 -0.68091959 -0.2520134 -0.31107337 -0.41356345 -0.15702546 -0.49117943 -0.38659232 -0.43307416 0.0085048836 0.020092375 0.29220861 -0.19558602 -0.50512179 0.21043465 -0.16253574 -0.23087424 -0.0027259811 -0.41419687 -0.58924023 0.36761038 -0.50854872 -0.38196748 0.20010368 "WALKING"
1 6 0.26967447 0.01090728 -0.074948593 -0.33663987 0.14624983 -0.4455707 0.95962542 -0.21386828 0.05054416 -0.96475046 -0.93943398 -0.94592334 0.12617433 0.20825344 0.077320931 -0.15905941 0.055081718 -0.4774586 -0.048421752 -0.10361941 0.086924633 -0.40723658 -0.20835537 -0.287685 0.047003067 -0.096509857 0.0021500498 -0.14763078 -0.21132042 -0.0033132913 -0.17864884 -0.33092936 -0.17864884 -0.33092936 -0.15420246 -0.11458085 -0.23214497 -0.16900367 -0.18464348 -0.17523004 -0.22855672 0.11182117 -0.40125413 -0.38437494 0.091896285 -0.52001538 -0.24702721 -0.034262124 0.33347843 -0.17415959 -0.078132287 -0.41452243 -0.21885516 0.12854933 -0.53977967 -0.28337793 -0.592582 -0.0080679462 -0.16399925 -0.18531777 -0.069778892 -0.48662501 -0.22855349 -0.44111941 0.089596167 0.023924376 0.28774614 -0.21293465 -0.5120523 0.24629106 -0.095773599 -0.13896673 0.024060947 -0.1490698 -0.33120522 0.26851537 -0.23541469 -0.15793642 0.21496347 "WALKING"
1 23 0.26819376 -0.012730069 -0.093652628 -0.38369784 -0.20389739 0.14800031 0.94419001 -0.1587575 -0.14252678 -0.98123535 -0.97279061 -0.9660382 -0.035809932 -0.013648953 0.25105707 -0.33327333 -0.20880414 -0.050110066 -0.011713496 -0.013529289 0.15682736 -0.5012925 0.17828866 -0.30512582 -0.12026107 -0.0042298159 -0.18784706 -0.41128162 0.17295521 -0.44636714 -0.16544768 -0.24964632 -0.16544768 -0.24964632 -0.16495084 -0.071436518 -0.093372621 0.094971465 -0.086230814 0.13542327 -0.3371315 -0.17182516 0.063412149 -0.40297074 -0.27198935 0.10388811 -0.32361523 -0.037764839 0.11459022 -0.35257644 -0.28022282 -0.066670354 -0.37234906 -0.18273593 -0.034555266 -0.2799317 -0.46675266 -0.45074202 -0.36755069 0.12700542 -0.29084426 -0.54372067 0.20054391 -0.37330765 -0.21571679 0.039225286 -0.088743239 -0.13485168 -0.43985403 0.28863771 -0.075290045 -0.072782923 0.050816272 0.20182032 -0.1916902 0.45712012 0.061487608 0.14917233 0.293295 "WALKING"
1 7 0.31419125 -0.0086959731 -0.12456099 -0.35587779 -0.16579948 0.40672936 0.89230254 -0.14698181 -0.34141884 -0.97975776 -0.96148636 -0.94085236 -0.22561772 -0.069864273 -0.093682416 -0.45300504 -0.12153354 -0.0044288892 0.033434766 -0.096892897 -0.0096831514 -0.53605877 -0.2388226 -0.36179957 -0.20300504 -0.16377837 0.057434157 -0.23549649 -0.27850618 -0.55916532 -0.050800892 -0.19296349 -0.050800892 -0.19296349 -0.16701481 -0.067405645 -0.31105774 -0.26027357 -0.34247773 -0.25489523 -0.37739701 -0.19145692 0.19287091 -0.34746347 -0.20474244 0.40956883 -0.24906394 0.1274282 -0.0094266582 -0.46556011 -0.20174829 0.0038327917 -0.48877318 -0.091592121 -0.01098646 -0.42640465 -0.17082 -0.32644199 -0.34717144 -0.24801085 -0.4522306 -0.59763498 -0.23856037 -0.39304154 0.13401097 0.02292372 -0.16074893 -0.16762305 -0.33281465 0.22194637 -0.081012584 -0.056168935 0.15600332 -0.2549877 -0.39442255 0.093123884 -0.29446303 -0.25580757 -0.15124255 "WALKING"
1 7 0.20327631 -0.0097640825 -0.15139663 -0.42866609 -0.26099996 0.076759624 0.91061671 -0.13269964 -0.31923664 -0.95240176 -0.93531592 -0.84531212 0.26599876 -0.040948857 0.0025967938 -0.488105 -0.29174463 -0.36158535 0.42743642 -0.045703201 -0.4134426 -0.51454166 -0.36898265 -0.40724136 -0.11170869 0.22132067 0.21892351 -0.36556483 -0.34498679 -0.56832919 -0.20943372 -0.34394328 -0.20943372 -0.34394328 -0.39067904 -0.26383091 -0.17464051 -0.34537812 -0.4748633 -0.23366833 -0.43709486 -0.22826944 -0.11465758 -0.4252674 -0.32582775 0.092484019 -0.39089049 0.075474482 -0.23119602 -0.50666308 -0.3166142 -0.34309963 -0.51397641 -0.31228314 -0.37739061 -0.37792998 -0.10155852 -0.40908912 -0.31828841 -0.23675361 -0.35450636 -0.57847005 -0.47140377 -0.47967458 -0.18186563 0.29089863 0.14803795 -0.38032055 -0.4259079 -0.12867852 -0.29646073 -0.22774662 -0.30709532 -0.35222587 -0.4548342 0.19457436 -0.27006915 -0.24061181 -0.05501402 "WALKING"
1 11 0.25902502 -0.035540578 -0.14803892 -0.38373936 0.032781674 -0.55372446 0.94684673 -0.2137035 0.091916082 -0.98731698 -0.94017967 -0.96678951 0.20723963 0.28281816 -0.015122566 -0.32298161 -0.016396892 -0.67933907 -0.048808911 -0.095562044 0.14522552 -0.56439371 -0.44375186 -0.4288999 -0.070473353 0.12358161 -0.20920634 -0.4837227 -0.68856629 -0.51692818 -0.25298179 -0.41198536 -0.25298179 -0.41198536 -0.30474363 -0.25324296 -0.40374617 -0.51478486 -0.58583373 -0.70004314 -0.32377539 -0.01201521 -0.62093779 -0.40896578 -0.0090088778 -0.5521754 -0.23238059 0.060906757 0.13451906 -0.31638566 -0.096018265 -0.66114547 -0.39312627 0.0061634927 -0.69513891 -0.13333186 -0.34771017 0.048507143 -0.4652486 -0.57004827 -0.35412199 -0.59596527 -0.3821442 -0.5078369 -0.20212028 -0.1575815 -0.0866751 -0.35118903 -0.54032931 0.1419768 -0.21715941 -0.30666034 0.18566011 -0.55313178 -0.571504 0.026142942 -0.69767288 -0.72344594 -0.052953491 "WALKING"
1 6 0.19927104 0.01901067 -0.075935641 -0.32971021 0.15256444 -0.50573529 0.96264047 -0.22767698 0.048766193 -0.9705335 -0.95637878 -0.9632589 0.11785531 0.16774168 0.22282555 -0.25079546 0.0200824 -0.61272299 -0.098046597 0.0088344842 0.063562348 -0.36152247 -0.36205376 -0.36783017 -0.050428799 -0.26505535 -0.077820693 0.038180887 -0.39046356 -0.2060811 -0.17258258 -0.36405927 -0.17258258 -0.36405927 -0.24973126 -0.18146097 -0.24913799 -0.36224129 -0.22595848 -0.3701923 -0.25333312 0.14187095 -0.48880197 -0.36226886 0.085292171 -0.55643464 -0.3636057 -0.041059835 0.30328072 -0.24451143 -0.049391417 -0.57071054 -0.32725166 0.029050138 -0.65328693 -0.21768115 -0.51391388 -0.091286518 -0.10283636 -0.37406323 -0.20477564 -0.44582328 -0.35921958 -0.4894581 0.16915284 0.028409848 0.16997835 -0.29631571 -0.50427181 0.19592781 -0.1647283 -0.20826399 -0.055478108 -0.28360058 -0.54546622 0.40147803 -0.33002687 -0.47466381 0.27251226 "WALKING"
1 10 0.18446909 -0.03659856 -0.083108213 -0.26596968 0.091588544 -0.42826116 0.95524463 -0.20401678 0.044092625 -0.93340429 -0.91866405 -0.95589178 -0.12958643 0.076243797 0.25155046 -0.16371012 0.16171279 -0.53739277 0.24586665 -0.2121871 0.031288052 -0.35960188 -0.34590777 -0.16510469 -0.12287046 -0.22801395 0.21170934 -0.36554701 -0.53205986 -0.22439843 -0.18506772 -0.15775954 -0.18506772 -0.15775954 -0.20942205 0.057648155 -0.15132118 -0.3242822 -0.4541831 -0.45434598 -0.15066047 0.15955815 -0.43682828 -0.31666475 -0.016332947 -0.46915589 -0.23450452 0.063221964 0.43165261 -0.14957762 0.085938362 -0.49899433 -0.25772091 0.1681762 -0.57339828 -0.22077197 -0.27742019 0.11792412 -0.25077087 -0.35161212 0.0086059022 -0.39524571 -0.3469991 -0.30705803 -0.2449891 -0.059428124 0.0045299422 -0.14063105 -0.29835774 -0.013904647 -0.03785345 0.1624846 -0.31733461 -0.34258953 -0.42869921 0.07482155 -0.49660481 -0.43940569 -0.19268379 "WALKING"
1 11 0.25233321 -0.0060459163 -0.11609946 -0.37450566 0.070671018 -0.5733913 0.9574925 -0.21097692 0.095628578 -0.97903775 -0.97641196 -0.97084561 -0.0020850058 0.33087037 0.17805604 -0.36300048 -0.073395311 -0.73087006 -0.080614582 0.012723011 0.02348189 -0.55757987 -0.44740235 -0.44683352 -0.23001793 -0.0028535526 0.25018122 -0.50960703 -0.70161274 -0.55350097 -0.2218495 -0.48756449 -0.2218495 -0.48756449 -0.32382463 -0.37378327 -0.39574292 -0.54289755 -0.59853066 -0.74231857 -0.34117542 0.025435729 -0.64772529 -0.38807219 0.026730003 -0.56695393 -0.51385006 0.045133655 0.12347326 -0.41245959 -0.18898049 -0.7281772 -0.36759181 -0.010205221 -0.73177146 -0.55333448 -0.51781836 -0.32989429 -0.47796414 -0.55181003 -0.35598814 -0.58343069 -0.39552879 -0.53061697 -0.18026465 -0.39850225 0.097637357 -0.47624259 -0.57310715 0.17494359 -0.37878419 -0.37094745 0.079066357 -0.58896754 -0.58961348 -0.13347103 -0.74866799 -0.75168339 0.081684842 "WALKING"
